time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mME_xx,mME_yy,mME_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
0.30546875,0.0015625,-0.00050327411872312,-0.00053501288736657,66.409268693992,-9.4422385679858e-05,-9.4422581226774e-05,0.00031473734682509,-0.00068112167561667,-0.00072059671835404,0.0015276107738892,-0.00068112167561667,-0.00072059671835404,0.0015276107738892,1609870,81880,283,9
0.30703125,0.0015625,-0.00050776944264027,-0.00053952500102965,66.484885285076,-9.4529912310262e-05,-9.4530107960622e-05,0.00031509573210147,-0.0006848613975762,-0.00072452165294111,0.0015354187623479,-0.0006848613975762,-0.00072452165294111,0.0015354187623479,1609870,81880,300,9
0.30859375,0.0015625,-0.00051227816391086,-0.0005440343513086,66.560409900112,-9.4637308236455e-05,-9.463750389069e-05,0.00031545368148752,-0.00068860131027628,-0.00072844651037918,0.0015432266900158,-0.00068860131027628,-0.00072844651037918,0.0015432266900158,1609870,81880,297,9
0.31015625,0.0015625,-0.00051680007231676,-0.00054855902887734,66.635842893607,-9.4744573935762e-05,-9.4744769607058e-05,0.0003158111966888,-0.00069234141213134,-0.00073237129156602,0.0015510345568433,-0.00069234141213134,-0.00073237129156602,0.0015510345568433,1609870,81880,286,9
0.31171875,0.0015625,-0.00052133521845593,-0.00055309735344896,66.71118462606,-9.4851709923367e-05,-9.4851905614247e-05,0.00031616827941153,-0.00069608170135948,-0.00073629599764535,0.0015588423628787,-0.00069608170135948,-0.00073629599764535,0.0015588423628787,1609870,81880,301,10
0.31328125,0.0015625,-0.00052588340330364,-0.00055765081869137,66.786435444017,-9.4958716688924e-05,-9.4958912412336e-05,0.00031652493129992,-0.00069982217656448,-0.00074022062931948,0.0015666501080826,-0.00069982217656448,-0.00074022062931948,0.0015666501080826,1609870,81880,294,10
0.31484375,0.0015625,-0.00053044477728158,-0.00056221280787855,66.861595692855,-9.5065594733609e-05,-9.5065790460812e-05,0.00031688115398166,-0.00070356283581207,-0.00074414518785164,0.001574457792451,-0.00070356283581207,-0.00074414518785164,0.001574457792451,1609870,81880,321,10
0.31640625,0.0015625,-0.00053501946573917,-0.00056678875890952,66.936665711391,-9.5172344532016e-05,-9.5172540266997e-05,0.00031723694907042,-0.00070730367730377,-0.00074806967441687,0.001582265415992,-0.00070730367730377,-0.00074806967441687,0.001582265415992,1609870,81880,317,10
0.31796875,0.0015625,-0.00053960705171444,-0.00057138043126642,67.011645828678,-9.5278966547516e-05,-9.5279162307674e-05,0.0003175923181276,-0.00071104469938813,-0.00075199409003985,0.0015900729787004,-0.00071104469938813,-0.00075199409003985,0.0015900729787004,1609870,81880,336,10
0.31953125,0.0015625,-0.00054420788794119,-0.00057598056691837,67.086536372776,-9.5385461258534e-05,-9.5385657014376e-05,0.00031794726269816,-0.00071478590078166,-0.00075591843535976,0.0015978804805667,-0.00071478590078166,-0.00075591843535976,0.0015978804805667,1609870,81880,337,10
0.32109375,0.0015625,-0.00054878339463486,-0.00058052054003914,67.161337668886,-9.5491829042173e-05,-9.5492024579088e-05,0.00031830178417093,-0.00071852727982438,-0.00075984271081806,0.0016056879211921,-0.00071852727982438,-0.00075984271081806,0.0016056879211921,1609870,81880,223,9
0.32265625,0.0015625,-0.00055342633769761,-0.00058519266981469,67.236050021615,-9.5598070497732e-05,-9.559826621447e-05,0.00031865588439487,-0.00072226883530137,-0.00076376691824556,0.0016134953012296,-0.00072226883530137,-0.00076376691824556,0.0016134953012296,1609870,81880,218,9
0.32421875,0.0015625,-0.00055807902876299,-0.00058981615214265,67.310673799021,-9.5704186132177e-05,-9.5704381668956e-05,0.00031900956477524,-0.00072601056572099,-0.00076769105815115,0.0016213026208462,-0.00072601056572099,-0.00076769105815115,0.0016213026208462,1609870,81880,238,10
0.32578125,0.0015625,-0.00056273418072981,-0.00059450556137107,67.385209193205,-9.5810176021203e-05,-9.5810371769045e-05,0.00031936282637501,-0.00072975246933025,-0.00077161513136867,0.0016291098792837,-0.00072975246933025,-0.00077161513136867,0.0016291098792837,1609870,81880,258,10
0.32734375,0.0015625,-0.00056740306682398,-0.00059917391610519,67.459656581754,-9.5916040878759e-05,-9.5916236623328e-05,0.00031971567087606,-0.00073349454513472,-0.00077553913852022,0.0016369170770289,-0.00073349454513472,-0.00077553913852022,0.0016369170770289,1609870,81880,263,12
0.328125,0.00078125,-0.00056973067084325,-0.00060156635209274,67.49686424901,-9.5968950405063e-05,-9.596914654907e-05,0.00031989201724226,-0.00073536562235569,-0.00077750111719732,0.0016408206598411,-0.00073536562235569,-0.00077750111719732,0.0016408206598411,1609870,81880,137,4
0.3296875,0.0015625,-0.00057443037925811,-0.00060619987696817,67.571178762441,-9.6074626536249e-05,-9.6074822272491e-05,0.00032024423199772,-0.00073910795481983,-0.00078142502887634,0.0016486277668851,-0.00073910795481983,-0.00078142502887634,0.0016486277668851,1609870,81880,272,10
0.33125,0.0015625,-0.00057913260859344,-0.00061090469333227,67.645406179917,-9.6180178744908e-05,-9.6180374497089e-05,0.00032059603408108,-0.00074285045514126,-0.00078534887635467,0.001656434812335,-0.00074285045514126,-0.00078534887635467,0.001656434812335,1609870,81880,294,10
0.3328125,0.0015625,-0.00058384464349255,-0.00061562136480726,67.719546852213,-9.6285607648805e-05,-9.6285803429552e-05,0.00032094742508064,-0.00074659312229504,-0.00078927266064215,0.0016642417969395,-0.00074659312229504,-0.00078927266064215,0.0016642417969395,1609870,81880,316,10
0.334375,0.0015625,-0.00058852545093515,-0.00062027142531112,67.793601017734,-9.6390913503997e-05,-9.6391109095309e-05,0.00032129840595638,-0.00075033595493525,-0.00079319638214873,0.0016720487204411,-0.00075033595493525,-0.00079319638214873,0.0016720487204411,1609870,81880,213,9
0.3359375,0.0015625,-0.00059328572177563,-0.00062508384345315,67.867568847015,-9.6496096752007e-05,-9.6496292664605e-05,0.00032164897799946,-0.0007540789521568,-0.00079712004264088,0.0016798555833805,-0.0007540789521568,-0.00079712004264088,0.0016798555833805,1609870,81880,230,9
0.3375,0.0015625,-0.00059805094057111,-0.00062978044403473,67.941450637719,-9.6601157858404e-05,-9.6601353348236e-05,0.00032199914211912,-0.00075782211262951,-0.00080104364185846,0.0016876623854004,-0.00075782211262951,-0.00080104364185846,0.0016876623854004,1609870,81880,259,9
0.3390625,0.0015625,-0.00060281563001538,-0.00063458771689828,68.015246563914,-9.6706096722697e-05,-9.6706292474891e-05,0.00032234889945459,-0.00076156543410282,-0.00080496718209982,0.0016954691264596,-0.00076156543410282,-0.00080496718209982,0.0016954691264596,1609870,81880,245,9
0.340625,0.0015625,-0.00060759550176575,-0.00063936847065877,68.088956914479,-9.6810914025139e-05,-9.6811109782767e-05,0.00032269825120223,-0.00076530891600407,-0.00080889066321834,0.0017032758066167,-0.00076530891600407,-0.00080889066321834,0.0017032758066167,1609870,81880,251,9
0.3421875,0.0015625,-0.00061238825017587,-0.00064416594803764,68.162581919595,-9.6915610020588e-05,-9.6915805807352e-05,0.00032304719851116,-0.00076905255731697,-0.00081281408589567,0.0017110824258959,-0.00076905255731697,-0.00081281408589567,0.0017110824258959,1609870,81880,274,9
0.34375,0.0015625,-0.00061719275715681,-0.00064892404131119,68.236121838406,-9.7020185151975e-05,-9.7020380652778e-05,0.00032339574252818,-0.00077279635684787,-0.00081673745071892,0.0017188889842902,-0.00077279635684787,-0.00081673745071892,0.0017188889842902,1609870,81880,262,9
0.3453125,0.0015625,-0.00062200904781267,-0.00065376397684639,68.30957687177,-9.7124639532634e-05,-9.7124835179116e-05,0.00032374388437762,-0.00077654031333897,-0.00082066075876645,0.0017266954817713,-0.00077654031333897,-0.00082066075876645,0.0017266954817713,1609870,81880,267,9
