time,dt,mCS_xx,mCS_yy,mCS_zz,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ndof,nelem,num_lin_it,num_nonlin_it
209.7151,104.8576,80.024831516601,-1.211600316308e-07,-1.9043066647227e-07,0.00050971230324891,-0.00015291369120389,-0.00015291369177747,0.00051423990556372,-0.00015465718056021,-0.00015569780473597,145507,7462,26,2
419.4303,209.7152,80.025172491088,-4.3996630100934e-07,-6.9274576764648e-07,0.00050971447662994,-0.00015291434381827,-0.00015291434591135,0.00051850561912562,-0.00015628237806779,-0.00015833745415751,145507,7462,26,2
838.8607,419.4304,80.025806668783,-1.4963739474808e-06,-2.3569461136664e-06,0.00050971852117694,-0.0001529155591715,-0.00015291556629725,0.00052644479124458,-0.00015926726765792,-0.00016329012787847,145507,7462,26,2
1677.7215,838.8608,80.026944510736,-4.5980060746631e-06,-7.3473758942545e-06,0.00050972578404045,-0.00015291774361156,-0.00015291776637704,0.00054070314545648,-0.00016452142715087,-0.00017229144425375,145507,7462,42,3
3355.4431,1677.7216,80.028912362674,-1.2634119778782e-05,-2.0430885561128e-05,0.00050973835848519,-0.00015292153002329,-0.00015292159458249,0.0005653922002386,-0.00017340455518991,-0.00018809241116928,145507,7462,45,3
6710.8863,3355.4432,80.032209371775,-3.0717504961697e-05,-4.9938389954762e-05,0.00050975944948117,-0.00015292788883771,-0.00015292804799153,0.00060681191405607,-0.00018804245222023,-0.00021486594918391,145507,7462,47,3
13421.7727,6710.8864,80.037578688632,-6.7333244843482e-05,-0.00010680862392061,0.00050979382758721,-0.00015293827323087,-0.00015293860009707,0.0006743544206641,-0.00021181409944921,-0.00025862336695562,145507,7462,51,3
26843.5455,13421.7728,80.046063850941,-0.00013727312024159,-0.0002033958340199,0.00050984819141164,-0.00015295474783218,-0.0001529552953451,0.0007812163247701,-0.00024958415339052,-0.00032769402314522,145507,7462,50,3
53687.0911,26843.5456,80.059134345234,-0.00025919825124343,-0.00035066173100485,0.0005099319573454,-0.00015298021849237,-0.00015298097583329,0.00094592469100608,-0.00030785489951645,-0.00043409902846988,145507,7462,57,3
107374.1823,53687.0912,80.079009762563,-0.00043566830743558,-0.00054660876134128,0.00051005926398525,-0.00015301894658884,-0.00015301986520406,0.0011961995627044,-0.00039576972859324,-0.00059640938191883,145507,7462,65,3
214748.3647,107374.1824,80.108851127407,-0.00064064383697349,-0.00077035779993044,0.00051025015559171,-0.00015307684633579,-0.00015307792040045,0.0015712220947236,-0.00052609189624603,-0.00084103480962207,145507,7462,76,3
429496.7295,214748.3648,80.152661075068,-0.00083797484562642,-0.00099129356625162,0.0005105299990802,-0.00015316139432673,-0.0001531626638448,0.0021204841977698,-0.00071511529727653,-0.0012011629595846,145507,7462,104,3
858993.4591,429496.7296,80.215288441122,-0.0010009574950895,-0.0011867506049273,0.00051092958441753,-0.0001532817290742,-0.00015328326748849,0.0029039234615122,-0.00098293768792317,-0.0017166211857342,145507,7462,133,4
1717986.9183,858993.4592,80.303081860518,-0.0011150947964254,-0.0013450963324596,0.00051148929883985,-0.00015344991161817,-0.00015345181608948,0.0040000238158816,-0.0013565191557863,-0.0024389170889631,145507,7462,167,4
3435973.8367,1717986.9184,80.425793305325,-0.0011750971595845,-0.0014688614255508,0.00051227125154714,-0.0001536845377728,-0.00015368697021577,0.0055291637548423,-0.0018777968785106,-0.0034464671327732,145507,7462,175,4
6871947.6735,3435973.8368,80.600818993654,-0.001177437190258,-0.0015681815864973,0.00051338625910374,-0.00015401880688414,-0.0001540220423473,0.0077055679705842,-0.0026214464465485,-0.0048787761141635,145507,7462,283,4
13743895.3471,6871947.6736,80.863148315671,-0.0011063621808127,-0.0016555927979467,0.00051505717772079,-0.0001545194533697,-0.00015452400113914,0.010958537368217,-0.0037366157447224,-0.0070159079002822,145507,7462,265,4
18743895.3471,5000000,81.031940611959,-0.0010485985018209,-0.0016955691113382,0.00051613225389964,-0.00015484154211055,-0.00015484689919203,0.013045075150473,-0.0044533714766194,-0.0083852598612569,145507,7462,206,3
23743895.3471,5000000,81.188257874359,-0.00098981845416746,-0.0017266785903473,0.0005171278523788,-0.00015513980367634,-0.000155145905066,0.014973198394046,-0.0051168000434272,-0.0096495562069819,145507,7462,232,4
28743895.3471,5000000,81.337138158877,-0.00093011703322254,-0.0017527208981025,0.00051807607012902,-0.00015542385827023,-0.00015543066963982,0.016805876377499,-0.0057481754894002,-0.01085047934588,145507,7462,219,4
33743895.3471,5000000,81.481568465084,-0.00086951546403147,-0.001775677006948,0.00051899593645112,-0.00015569940988463,-0.00015570691313308,0.018580336518206,-0.006360115928511,-0.012012630976261,145507,7462,229,3
36000000,2256104.6529,81.546072855507,-0.00084284758387709,-0.0017846831002858,0.00051940675869244,-0.00015582247961341,-0.00015583027825145,0.019371575341088,-0.0066330873994943,-0.012530733940766,145507,7462,94,3
